row,product_id,product_name,variation_name,master_color,master_size,sku
430,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Putih,XS",Putih,XS,JC-W-PTH-XS
431,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Merah Cabe,XL",Merah Cabe,XL,JC-W-MCB-XL
432,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Navy,M",Navy,M,JC-W-NVY-M
433,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Burgundy,XXXL",Marun Tua,XXXL,JC-W-MTA-XXXL
434,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Cream,S",Krem,S,JC-W-KRM-S
435,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Merah Cabe,XXXL",Merah Cabe,XXXL,JC-W-MCB-XXXL
436,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Marun,XXXL",Marun Muda,XXXL,JC-W-MMD-XXXL
437,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Hitam,XL",Hitam,XL,JC-W-HTM-XL
438,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Merah Cabe,XXL",Merah Cabe,XXL,JC-W-MCB-XXL
439,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Burgundy,XXL",Marun Tua,XXL,JC-W-MTA-XXL
440,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Baby Pink,XXL",Baby Pink,XXL,JC-W-BPK-XXL
441,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Burgundy,M",Marun Tua,M,JC-W-MTA-M
